age_months,p3,p15,p50,p85,p97
0,45.6,47.2,49.1,51.1,52.7
1,50.0,51.7,53.7,55.7,57.4
2,53.2,55.0,57.1,59.2,60.9
3,55.8,57.6,59.8,62.0,63.8
4,58.0,59.8,62.1,64.3,66.2
5,59.9,61.7,64.0,66.3,68.2
6,61.5,63.4,65.7,68.1,70.0
7,62.9,64.9,67.3,69.7,71.6
8,64.3,66.3,68.7,71.2,73.2
9,65.6,67.6,70.1,72.6,74.7
10,66.8,68.9,71.5,74.0,76.1
11,68.0,70.2,72.8,75.4,77.5
12,69.2,71.3,74.0,76.7,78.9
13,70.3,72.5,75.2,77.9,80.2
14,71.3,73.6,76.4,79.2,81.4
15,72.4,74.7,77.5,80.3,82.7
16,73.3,75.7,78.6,81.5,83.9
17,74.3,76.7,79.7,82.6,85.0
18,75.2,77.7,80.7,83.7,86.2
19,76.2,78.7,81.7,84.8,87.3
20,77.0,79.6,82.7,85.8,88.4
21,77.9,80.5,83.7,86.8,89.4
22,78.7,81.4,84.6,87.8,90.5
23,79.6,82.2,85.5,88.8,91.5
24,79.6,82.4,85.7,89.1,91.8
25,80.4,83.2,86.6,90,92.8
26,81.2,84,87.4,90.9,93.7
27,81.9,84.8,88.3,91.8,94.6
28,82.6,85.5,89.1,92.7,95.6
29,83.4,86.3,89.9,93.5,96.4
30,84,87,90.7,94.3,97.3
31,84.7,87.7,91.4,95.2,98.2
32,85.4,88.4,92.2,95.9,99
33,86,89.1,92.9,96.7,99.8
34,86.7,89.8,93.6,97.5,100.6
35,87.3,90.5,94.4,98.3,101.4
36,87.9,91.1,95.1,99,102.2
37,88.5,91.7,95.7,99.7,103
38,89.1,92.4,96.4,100.5,103.7
39,89.7,93,97.1,101.2,104.5
40,90.3,93.6,97.7,101.9,105.2
41,90.8,94.2,98.4,102.6,106
42,91.4,94.8,99,103.3,106.7
43,92,95.4,99.7,103.9,107.4
44,92.5,96,100.3,104.6,108.1
45,93,96.6,100.9,105.3,108.8
46,93.6,97.2,101.5,105.9,109.5
47,94.1,97.7,102.1,106.6,110.2
48,94.6,98.3,102.7,107.2,110.8
49,95.1,98.8,103.3,107.8,111.5
50,95.7,99.4,103.9,108.4,112.1
51,96.2,99.9,104.5,109.1,112.8
52,96.7,100.4,105,109.7,113.4
53,97.2,101,105.6,110.3,114.1
54,97.6,101.5,106.2,110.9,114.7
55,98.1,102,106.7,111.5,115.3
56,98.6,102.5,107.3,112.1,116
57,99.1,103,107.8,112.6,116.6
58,99.6,103.5,108.4,113.2,117.2
59,100,104,108.9,113.8,117.8
60,100.5,104.5,109.4,114.4,118.4
